# ----------------------------------------
# 1 Master View
# report
# 20200101-20230621
# ----------------------------------------

Дата,Пользователи,Новые пользователи,Сеансов на пользователя,Сред. длительность сеанса,Показатель отказов,Страниц/сеанс,Достигнутые цели,Доход
20230406,2 770,2 289,"1,09",00:02:40,"48,58 %","3,81",412,"4 981,50 $"
20201026,2 768,2 168,"1,09",00:02:57,"49,03 %","4,55",370,"299,30 $"
20211124,2 768,2 104,"1,11",00:03:35,"47,83 %","5,19",698,"12 709,30 $"
20230522,2 767,2 162,"1,11",00:03:09,"49,43 %","3,86",468,"228,00 $"
20220217,2 761,2 128,"1,09",00:03:15,"45,29 %","4,67",622,"7 922,97 $"
20220404,2 760,2 066,"1,12",00:03:48,"45,11 %","5,24",720,"7 570,11 $"
20210415,2 757,2 207,"1,08",00:02:32,"56,40 %","3,83",503,"4 078,05 $"
20220725,2 757,1 985,"1,11",00:03:17,"43,67 %","5,10",755,"8 740,93 $"
20220922,2 757,2 037,"1,12",00:03:45,"41,42 %","5,04",701,"8 003,48 $"
20211116,2 756,2 045,"1,12",00:03:30,"43,13 %","5,19",793,"10 362,97 $"
20210311,2 754,2 122,"1,10",00:03:10,"48,32 %","4,86",687,"793,70 $"
20230131,2 747,2 174,"1,11",00:03:02,"50,79 %","3,75",412,"3 346,72 $"
20220804,2 744,1 978,"1,11",00:03:48,"40,87 %","5,59",838,"10 616,70 $"
20230609,2 744,2 290,"1,07",00:02:30,"53,44 %","3,74",417,"0,00 $"
20220713,2 743,2 092,"1,10",00:02:57,"44,76 %","4,79",629,"9 151,59 $"
20211013,2 742,2 072,"1,11",00:03:55,"44,49 %","4,98",661,"6 509,07 $"
20220919,2 741,2 058,"1,11",00:03:10,"41,20 %","5,05",707,"6 107,99 $"
20220718,2 740,2 000,"1,12",00:03:30,"42,39 %","5,27",814,"9 226,26 $"
20230207,2 735,2 161,"1,10",00:02:43,"49,25 %","3,78",454,"4 806,38 $"
20220802,2 732,1 985,"1,12",00:03:42,"40,82 %","5,19",789,"5 976,06 $"
20220629,2 728,2 037,"1,10",00:03:22,"44,46 %","5,11",763,"11 738,31 $"
20220211,2 726,2 122,"1,11",00:02:45,"48,48 %","4,38",572,"9 903,43 $"
20220322,2 726,2 113,"1,10",00:03:13,"44,75 %","4,68",621,"10 846,44 $"
20200709,2 724,2 117,"1,11",00:03:08,"43,97 %","4,81",435,"126,00 $"
20211012,2 722,2 023,"1,11",00:03:13,"46,37 %","4,94",632,"7 953,76 $"
20210413,2 721,2 135,"1,12",00:03:18,"51,38 %","4,97",643,"6 635,87 $"
20220808,2 720,1 923,"1,12",00:03:24,"40,28 %","5,53",787,"6 969,72 $"
